reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a0397e8f-fb5f-4241-b19d-74ecf6e4602a,Fraag Eladawy,https://play-lh.googleusercontent.com/a/ACg8ocInyDkgny8PIp-GEfKKmio6eUy3q0Os1-0e6j02DScdfQXFkQ=mo,لا أنصح أبدا بتحميل هذا التطبيق ، والوقوع في مصيدة الغش ، فقد كانت تجربتي معه سيئة جدا ،  الكثير من عمليات الخداع والغش داخل التطبيق بمعنى أن الثمن المعروض على المنتج يتغير كلياً عندما تضغط عليه للشراء يزيد أكثر من النصف ولا يوجد دفع عند الإستلام كما يزعمون . كما أن جودة المنتجات تحت الصفر ، العروض كاذبة بالغالب بالأخص عروض شراء المستخدمين الجدد) أما الإعلانات خاصة التطبيق دمرت هاتفي ، انا اسمع موسيقى الإعلان تنبثق من هاتفي بدون الإعلان نفسه، لا استطيع متابعة فيديو او إرسال رساله بسببها هل هذا ي,1,2701,2.57.1,2024-04-06 18:19:35,,,2.57.1
b31994a3-91b6-4844-b304-9b08d70ad29d,Khalid_0 O,https://play-lh.googleusercontent.com/a/ACg8ocI2UtllIZHYCx9mlwFe7Pkm93_kHTjymmuWTsR_BHGttzbmOQ=mo,سهل الاستخدام أسعار وعروض مناسبة جدا وكذلك الحصول على خصومات عند الشراء. سرعة الإنجاز بتوصيل طلبك على التاريخ المحدد لاستلام شحنتك وإمكانيات كثيره منها: استرجاع المنتجات اللي ماتعمل او تالف او شراء بالغلط. وفي حالة تعثرت ولم تتمكن من المعرفة بامكانك التواصل بفريق الدعم. واخيرآ وهو الأفضل على الإطلاق: انه لكل مشترك حساب تأمين لديهم في حالة استرجاع اي منتج المبلغ يودع لحسابك التاميني، وهناك خاصية تعديل الاسعار حتى بعد الشراء وتستفيد من جميع المبالغ عندالشراء مره اخرى. دمتم بخير...,5,228,2.62.1,2024-04-30 15:48:38,,,2.62.1
bedaf0d7-51a4-4e78-820d-58190806ce94,Ľ infini,https://play-lh.googleusercontent.com/a-/ALV-UjVKfuuZ6KSaSycjU-GUhX6e4UQlB0lz827a6eJhOr9iEJ58TXPn,التطبيق رائع فيه مجموعة من المميزات الجيدة و الأثمنة جد مناسبة و أريد أن أجعله المصدر الأول في عمليات الشراء الخاصة بعملي ( بيع الاكسسوارات و المجوهرات) لكنني خائف من أن يكون الاشهار أو الصورة مغايرة تماما للمنتج سواء كان اكسسوارات أو ملابس لكن رغم ذالك سأجرب للمرة الأولى أتمنى أن أستمتع به ❤️,5,13,2.63.0,2024-05-05 01:36:06,,,2.63.0
205f6ba2-4f1b-445a-99a2-30f81fb2969f,The hero,https://play-lh.googleusercontent.com/a-/ALV-UjUSN91c14x2QLA4JO-SqPeJOmbGH9PYXHXTWGWM-4ztk3tlyKFs,جدا سيء التطبيق ..لايوجد فيه خصم او كوبانات او او اني زبون او عميل دائم او مكافأة عشان اشتريت كمية كبيرة من الاغراض او حتى عروض .حتى نجمة واحدة كثيرة عليه لكن لازم اضع نجمة عشان ينشر كلامي..ياليت يسوي خصومات او جوائز لكسب الزبائن.,1,212,2.61.0,2024-04-22 11:22:46,,,2.61.0
dd8576ff-561d-476e-90cc-037cb847679f,إدريس عبدالله,https://play-lh.googleusercontent.com/a-/ALV-UjXoYP5MUX9Lgc5eBNO_PGHrXbJQQ74QPPQjj6jMZNNp4ycZvFA,يمارسوا النصب بطريقه غير مباشره يقول التوصيل مجانا ولما تكمل عملية الشراء يضيفوا مبلغ التوصيل بعباره اخرى رسوم الدفع عند الاستلام ويتم اضافة رسوم التوصيل الذي كانت بالاصل على انها مجانا،,1,33,2.63.0,2024-05-02 10:49:10,,,2.63.0
e6a841b3-c5aa-4ab6-9c4c-485dd9a10663,التويتي التويتي,https://play-lh.googleusercontent.com/a-/ALV-UjVQoT86XRvENJVnRkbKz8_byPgv2_rvHK36BqX1VFwUeWTezz4,على حسب تجربتي افضل اسعار هناء توصيل مجاني وعروض ممتاز جدا جدا روعه لا يمكن ان تحصل عليها في اي مكان في العالم 🌏,5,2,2.63.0,2024-05-04 01:45:35,,,2.63.0
2f326bf6-ba21-4584-bbc9-6388a6152ecf,3badi Aboood,https://play-lh.googleusercontent.com/a-/ALV-UjWCyVslgeMSoBeSW8TdfTqOoYrTCrcwZVY6NT9C-er0MG14t1Ex,ممل جدا من ناحية الدعايات الزائدة .. و موضوع الاشتراك و الهدايا المجانية فيه تحايل و ما يمديك توصل 100% لو عيونك تطلع .. شوية مصداقية يا محترمين ...مغصوب احط نجمة .,1,9,2.63.0,2024-05-03 21:22:58,,,2.63.0
ced2b78c-9075-46dd-aec9-a7bc6eac5094,ابوعزام عيظة,https://play-lh.googleusercontent.com/a/ACg8ocIEpHlLAd_TRIdkw_w5ZBZUJEMdG7pKDdTww5REIqyvGKIWmf0=mo,المنتوجات الموجوده في التطبيق جودتها ثلاث نجوم وانا عملت استرجاع لبعض القطع بمبلغ 570 درهم تم خصمها من بطاقه الائتمانيه من غير علم انصح كل شخص يريد ان يتعامل مع التطبيق الا يدخل بطاقته الائتمانيه لان عندهم صلاحيه يتم الخصم من بطاقتك في اي وقت والى الان رفعت شكوى ولم يتم الرد علي,1,98,2.59.0,2024-04-16 09:37:25,,,2.59.0
a74da448-66d7-4e5b-8e55-9c663c1b41da,Abdulaziz Bakouban,https://play-lh.googleusercontent.com/a-/ALV-UjUtB64XilcDm9G8wZrVzDY5zNUZvEI3iaa8DcNZ8Qy6klZj_dM,اداة البحث لا تنفع. فعندما تبحث عن شيء معين يظهر لك البحث على جميع الكلمات الموجودة في البحث بالاضافة الإكسسوارات، جاري الحذف. 😩😠😩,1,136,2.57.1,2024-04-07 16:52:34,مرحبًا، نشكرك على تواصلك ومشاركة مخاوفك معنا، ونعتذر لك على المتاعب التي تسببنا فيها. نريد أن نؤكد لك أننا نقدر ملاحظاتك وقد أرسلنا اقتراحك إلى الأقسام المعنية. إذا كنت بحاجة إلى مزيد من المساعدة، يرجى مراسلتنا عبر موقع Temu.com أو الدردشة المباشرة لتطبيق Temu. لكم منا أطيب التمنيات، فريق Temu,2024-04-10 09:16:25,2.57.1
ef28b8ca-88de-4e51-bd87-577a8217faa7,eeman alrashedy,https://play-lh.googleusercontent.com/a/ACg8ocLeffaBB2hhNwHP_IP7zTDccajXtyvmSWvT-Ri8GfmAT2SN0g=mo,لفترة كبيرة من الزمن كنت متردد في تنزيل التطبيق ولا كنت متأكد من مصداقية الموقع لكني سجلت فيه وتعاملت معهم الصراحة ناس جيدين ومركز خدمة موثوق فيه منتجاتهم جيدة واسعارهم مدروسة ومناسبة للجميع ةالطلبيات توصل بسرعة وقبل الوقت المحدد شكرا لكم على المصداقية,5,821,2.57.1,2024-04-07 03:33:43,,,2.57.1
2be35305-1fc9-448d-b7d4-501344f367a6,Roaming Loner,https://play-lh.googleusercontent.com/a-/ALV-UjXvXaV8VpMdo_pypRVqvWoBDdHcxEOZio_8si37IyqiOxCsiRU,عند الشراء من مواقع أخرى، يوجد خطوة أخيرة، رسالة فيها 6 ارقام اكتبها في صفحة الدفع. لكن مع هذا الموقع تم تخطي هذه الخطوة، لماذا؟ مشكلة إذا يستطيع موقعكم تخطي خطوة الأمان هذه.,2,92,2.57.1,2024-04-07 00:51:56,,,2.57.1
0d6bae4a-241c-4b90-b92b-0a11d0fb6c78,محمد ضيف,https://play-lh.googleusercontent.com/a-/ALV-UjXg2aUHpyZu_Xik2EkZj0mn6unaOHhVXOc7bAgeO38An6sH4ydE,كنت في البدايه اعتقد أن منتجاته ضعيفة ، ولكن بعد تجربة الشراء وجدته من افضل المواقع ويشبه كثيرا SheIn بل يزيد بتوفيرة لمنتجات كنت أبحث عنها وأرخص أسعارا من Ali express,5,44,2.63.0,2024-05-03 07:58:30,,,2.63.0
13c6364c-19a4-4614-aacf-2284efd18c9d,وقفة أمل Ff,https://play-lh.googleusercontent.com/a/ACg8ocKlL84NU0kKQ5oCXYtSZdsdhwuTes_yxHDVasu6XvGgsXvjKg=mo,لو يتم قليل عدد اخر 100 فلس من تقديم الهدايا لكن أفضل بكثير لان جدا متعب البحث عن أشخاص كثيرة و خاصة أغلب الناس تم تنزيل البرنامج و الوقت بعد يكتمل و يكون الشخص لحصوله على الهدايا يبقى عليه القليل,1,111,2.55.0,2024-03-31 23:48:14,,,2.55.0
392b4b2e-59ac-4d5a-ae59-1f472333bdc3,رمضان الأقصري للتكييف والتبريد,https://play-lh.googleusercontent.com/a/ACg8ocI_e7Hv59lGHFrkokeeDem0lijbKZ4Qe7JDXzRHRQtTgpJNzw=mo,لا انصح به اطلاقا تطبيق فاشل من المتوقع ان احصل عل خصم 90% عند إتمام عملية الشراء ولكن عند إتمام عملية الدفع والشراء تظهر رسالة انتهى وقت العرض نصب في نصب اذا لم أحصل علي كوبونات القديمه حينها لايصح المستخدمين بهذا التطبيق لان به احتيال علي العملاء,1,99,2.58.0,2024-04-11 15:51:21,مرحبًا، نشكرك على مشاركتك في أنشطتنا الترويجية ونأسف لمواجهتك صعوبات فيما يتعلق بمكافآتك. إن رضا العملاء له أهمية قصوى ونحن نعمل باستمرار على تحسين جودة خدماتنا. للحصول على أي مساعدة، يرجى الاتصال بنا من خلال الدردشة المباشرة في موقع Temu.com أو تطبيق Temu. أطيب التمنيات، فريق Temu,2024-04-11 08:46:02,2.58.0
1bf8b75d-913e-4e0e-b515-17a2591ff5f4,Maher Basha,https://play-lh.googleusercontent.com/a-/ALV-UjUII3JYIjbjVDqT26xuwI6LpmO4eP1jo2oR9RkcnG7MxjZrFNBJ,حقيقة هذا التطبيق وبعد بحث مستمر وإعادة تفصيل جميع خورزمياته يعتبر إحدى تطبيقات التجسس يسرق جميع المعلومات في هاتفك الذكي ويتم بيعها في المواقع السوداء وأعلى مرتبة في حصوله على جميع الإذونات خصوصا الميكرفون وو الخ ... بحسب خبرتي في أمن المعلومات لا انصح به ابدا.,1,2210,2.48.0,2024-03-05 06:09:12,,,2.48.0
3bd91bc1-2a3c-43f2-b227-de2b5ec949a1,Ahmad Saleh,https://play-lh.googleusercontent.com/a/ACg8ocLhQqxWO3iramGzwhkaUK0I_Js4LTvc7pfvhnYb3JSDAeNwkg=mo,لقد ربحت عند تنزيل التطبيق كوبون بقيمة الف درهم وبعد الشراء ارسلوا فاتور. بقيمة ١٣٦،٩٢ درهم ، لماذا لم يتم الخصم من المبلغ الذي ربحته؟ ثانياً ،، اين التخفيضات عند أول تنزيل ؟ لقد تم حساب الأسعار كما هي ،، إذا لم يتم الخصم من ما ربحته سألغي الطلبية وامسح التطبيق .,1,637,2.56.0,2024-04-02 09:08:48,,,2.56.0
61b1d8e0-7da0-41e1-8758-193b572798aa,Mahmoud 3lim,https://play-lh.googleusercontent.com/a-/ALV-UjW6AhZ3pSokI4XstL6uqyHvdtsc_pcwRGz_urEw0iA4TgDgcKc,تطبيق رائع . سهل . توصيل سريع جدا . ستصل كل الطلبات فى طرد واحد ليس كغيره كل طرق الدفع متاحة انصح بالتعامل معه,5,451,2.50.2,2024-03-11 22:39:11,,,2.50.2
7389384f-ce5a-4a2b-ba41-c6bb2362608f,omar alameer,https://play-lh.googleusercontent.com/a-/ALV-UjWE-kCgbNKLU1vPT90Xie8L8CxBGeHGpazFmKbrXYzWuVC3BFY,لا انصح بتحميله نهاىي .. تطبيق ممل والاهم غير صادق يرسل ايميل مبروك كسبت وهدايا لكن تبقى على الاختيار الاخير ولا يتم تسليم الهدايا بالعكس يتم التلاعب بالعميل ... عندما تطلب طلبيه او استفسار ياخذ وقت طويل جدا ..,1,1058,2.50.2,2024-03-10 10:32:17,,,2.50.2
